EVA_Key,Category,Service,SkuOrModel,MeterType,Unit,Price_USD,Notes
aoai_gpt4_1_input,LLM,GPT-4.1,Standard,Input,per 1M tokens,5.00,
aoai_gpt4_1_output,LLM,GPT-4.1,Standard,Output,per 1M tokens,15.00,
aoai_gpt4_1mini_input,LLM,GPT-4.1-mini,Standard,Input,per 1M tokens,0.15,
aoai_gpt4_1mini_output,LLM,GPT-4.1-mini,Standard,Output,per 1M tokens,0.60,
aoai_gpt4o_input,LLM,GPT-4o,Standard,Input,per 1M tokens,5.00,
aoai_gpt4o_output,LLM,GPT-4o,Standard,Output,per 1M tokens,15.00,
aoai_gpt4o_mini_input,LLM,GPT-4o-mini,Standard,Input,per 1M tokens,0.15,
aoai_gpt4o_mini_output,LLM,GPT-4o-mini,Standard,Output,per 1M tokens,0.60,
ai_docint_s0_prebuilt,OCR,Azure AI Document Intelligence,S0,Prebuilt,per page,0.03,
ai_docint_s0_custom_extract,OCR,Azure AI Document Intelligence,S0,Custom extract,per page,0.03,
ai_docint_s0_custom_gen_extract,OCR,Azure AI Document Intelligence,S0,Custom generative extract,per page,0.03,
ai_search_s1,Search,Azure AI Search,S1,Compute,per hour,0.336,
ai_search_s2,Search,Azure AI Search,S2,Compute,per hour,1.344,
cache_redis_std_c0,Cache,Azure Cache for Redis,Standard C0,Flat,per month,40.15,
cache_redis_std_c1,Cache,Azure Cache for Redis,Standard C1,Flat,per month,100.74,
storage_blob_hot,Storage,Azure Blob Storage,Hot,Tier,per GB-month,0.0184,
storage_datalake_hot,Storage,Azure Data Lake,Hot,Tier,per GB-month,0.0190,
appsvc_evada_small,App,App Service / ACA,Small,Instance,per month,75.00,
appsvc_evada_medium,App,App Service / ACA,Medium,Instance,per month,150.00,
